brand_id,left_table,right_table,key,left_rows,right_rows,left_unique,right_unique,overlap_unique,row_coverage,left_unique_norm,right_unique_norm,overlap_unique_norm,row_coverage_norm
c-vit,activity_transaction,user_identity,user_id,20768624,211470,201737,201470,201415,0.9999372129805036,201737,201470,201415,0.9999372129805036
c-vit,activity_transaction,user_view,user_id,20768624,236745,201737,226745,201415,0.9999372129805036,201737,226745,201415,0.9999372129805036
c-vit,activity_transaction,user_visitor,user_id,20768624,4972930,201737,226698,201404,0.9999366833354005,201737,226698,201404,0.9999366833354005
c-vit,purchase,purchase_items,transaction_id,2751452,13296855,2741452,2741452,2741452,1.0,2741452,2741452,2741452,1.0
c-vit,purchase,purchase_items,user_id,2751452,13296855,118703,118703,118703,1.0,118703,118703,118703,1.0
c-vit,purchase,user_identity,user_id,2751452,211470,118703,201470,118703,1.0,118703,201470,118703,1.0
c-vit,purchase,user_info,user_id,2751452,211470,118703,201470,118703,1.0,118703,201470,118703,1.0
c-vit,user_view,user_visitor,user_id,236745,4972930,226745,226698,226698,0.9997972502059178,226745,226698,226698,0.9997972502059178
see-chan,activity_transaction,user_identity,user_id,178594,141220,140795,141220,140792,0.9999832021232516,140795,141220,140792,0.9999832021232516
see-chan,activity_transaction,user_view,user_id,178594,173494,140795,173494,140792,0.9999832021232516,140795,173494,140792,0.9999832021232516
see-chan,activity_transaction,user_visitor,user_id,178594,446324,140795,172144,139453,0.9924857498012252,140795,172144,139453,0.9924857498012252
see-chan,purchase,purchase_items,transaction_id,1404759,1982120,1399583,1378053,1378053,0.9839175260667489,1399566,1378053,1378053,0.9839294905061196
see-chan,purchase,purchase_items,user_id,1404759,1982120,10359,19,19,0.0020581521535755717,10359,19,19,0.0020581521535755717
see-chan,purchase,user_identity,user_id,1404759,141220,10359,141220,10359,1.0,10359,141220,10359,1.0
see-chan,purchase,user_info,user_id,1404759,141220,10359,141220,10359,1.0,10359,141220,10359,1.0
see-chan,user_view,user_visitor,user_id,173494,446324,173494,172144,172144,0.992218751080729,173494,172144,172144,0.992218751080729
