brand_id,window_end_date,window_size,window_size_days,commerce_joinable,activity_enrichment_joinable,seg_active_0_7d_users,seg_active_0_7d_share,seg_active_0_7d_activity_completion_rate,seg_active_0_7d_redeem_rate,seg_active_0_7d_dormant_share,seg_active_0_7d_transactions,seg_active_0_7d_gmv_net,seg_recently_lapsed_8_14d_users,seg_recently_lapsed_8_14d_share,seg_recently_lapsed_8_14d_activity_completion_rate,seg_recently_lapsed_8_14d_redeem_rate,seg_recently_lapsed_8_14d_dormant_share,seg_recently_lapsed_8_14d_transactions,seg_recently_lapsed_8_14d_gmv_net,seg_dormant_15_30d_users,seg_dormant_15_30d_share,seg_dormant_15_30d_activity_completion_rate,seg_dormant_15_30d_redeem_rate,seg_dormant_15_30d_dormant_share,seg_dormant_15_30d_transactions,seg_dormant_15_30d_gmv_net,seg_dormant_31_60d_users,seg_dormant_31_60d_share,seg_dormant_31_60d_activity_completion_rate,seg_dormant_31_60d_redeem_rate,seg_dormant_31_60d_dormant_share,seg_dormant_31_60d_transactions,seg_dormant_31_60d_gmv_net,seg_dormant_60d_plus_users,seg_dormant_60d_plus_share,seg_dormant_60d_plus_activity_completion_rate,seg_dormant_60d_plus_redeem_rate,seg_dormant_60d_plus_dormant_share,seg_dormant_60d_plus_transactions,seg_dormant_60d_plus_gmv_net,seg_new_users_0_7d_users,seg_new_users_0_7d_share,seg_new_users_0_7d_activity_completion_rate,seg_new_users_0_7d_redeem_rate,seg_new_users_0_7d_dormant_share,seg_new_users_0_7d_transactions,seg_new_users_0_7d_gmv_net,seg_redeemers_users,seg_redeemers_share,seg_redeemers_activity_completion_rate,seg_redeemers_redeem_rate,seg_redeemers_dormant_share,seg_redeemers_transactions,seg_redeemers_gmv_net,seg_non_redeemers_users,seg_non_redeemers_share,seg_non_redeemers_activity_completion_rate,seg_non_redeemers_redeem_rate,seg_non_redeemers_dormant_share,seg_non_redeemers_transactions,seg_non_redeemers_gmv_net,seg_buyers_users,seg_buyers_share,seg_buyers_activity_completion_rate,seg_buyers_redeem_rate,seg_buyers_dormant_share,seg_buyers_transactions,seg_buyers_gmv_net,seg_repeat_buyers_users,seg_repeat_buyers_share,seg_repeat_buyers_activity_completion_rate,seg_repeat_buyers_redeem_rate,seg_repeat_buyers_dormant_share,seg_repeat_buyers_transactions,seg_repeat_buyers_gmv_net,seg_high_aov_buyers_users,seg_high_aov_buyers_share,seg_high_aov_buyers_activity_completion_rate,seg_high_aov_buyers_redeem_rate,seg_high_aov_buyers_dormant_share,seg_high_aov_buyers_transactions,seg_high_aov_buyers_gmv_net,seg_discount_sensitive_users,seg_discount_sensitive_share,seg_discount_sensitive_activity_completion_rate,seg_discount_sensitive_redeem_rate,seg_discount_sensitive_dormant_share,seg_discount_sensitive_transactions,seg_discount_sensitive_gmv_net,seg_sku_affinity_top1_users,seg_sku_affinity_top1_share,seg_sku_affinity_top1_activity_completion_rate,seg_sku_affinity_top1_redeem_rate,seg_sku_affinity_top1_dormant_share,seg_sku_affinity_top1_transactions,seg_sku_affinity_top1_gmv_net
c-vit,2021-03-21 00:00:00+00:00,30d,30.0,0.0,0.0,18.0,0.13953488372093023,0.05714285714285714,0.0,0.0,0.0,0.0,11.0,0.08527131782945736,0.16666666666666666,0.0,0.0,0.0,0.0,9.0,0.06976744186046512,0.09090909090909091,0.0,1.0,0.0,0.0,13.0,0.10077519379844961,0.0,0.0,1.0,0.0,0.0,78.0,0.6046511627906976,0.0,0.0,1.0,0.0,0.0,2.0,0.015503875968992248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129.0,1.0,0.09375,0.0,0.7751937984496124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
c-vit,2021-03-28 00:00:00+00:00,30d,30.0,0.0,0.0,11.0,0.08396946564885496,0.05,0.0,0.0,0.0,0.0,11.0,0.08396946564885496,0.058823529411764705,0.0,0.0,0.0,0.0,17.0,0.1297709923664122,0.09523809523809523,0.0,1.0,0.0,0.0,11.0,0.08396946564885496,0.0,0.0,1.0,0.0,0.0,81.0,0.6183206106870229,0.0,0.0,1.0,0.0,0.0,2.0,0.015267175572519083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,131.0,1.0,0.06896551724137931,0.0,0.8320610687022901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
c-vit,2021-04-04 00:00:00+00:00,30d,30.0,0.0,0.0,12.0,0.0916030534351145,0.03225806451612903,0.0,0.0,0.0,0.0,7.0,0.05343511450381679,0.1111111111111111,0.0,0.0,0.0,0.0,17.0,0.1297709923664122,0.15789473684210525,0.0,1.0,0.0,0.0,15.0,0.11450381679389313,0.0,0.0,1.0,0.0,0.0,80.0,0.6106870229007634,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,131.0,1.0,0.0847457627118644,0.0,0.8549618320610687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
c-vit,2021-04-11 00:00:00+00:00,30d,30.0,0.0,0.0,13.0,0.09774436090225563,0.08571428571428572,0.0,0.0,0.0,0.0,7.0,0.05263157894736842,0.0,0.0,0.0,0.0,0.0,15.0,0.11278195488721804,0.13333333333333333,0.0,1.0,0.0,0.0,18.0,0.13533834586466165,0.0,0.0,1.0,0.0,0.0,80.0,0.6015037593984962,0.0,0.0,1.0,0.0,0.0,2.0,0.015037593984962405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,133.0,1.0,0.078125,0.0,0.849624060150376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
c-vit,2021-04-18 00:00:00+00:00,30d,30.0,0.0,0.0,9.0,0.06766917293233082,0.0,0.0,0.0,0.0,0.0,7.0,0.05263157894736842,0.16666666666666666,0.0,0.0,0.0,0.0,11.0,0.08270676691729323,0.0,0.0,1.0,0.0,0.0,21.0,0.15789473684210525,0.0,0.0,1.0,0.0,0.0,85.0,0.6390977443609023,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,133.0,1.0,0.03773584905660377,0.0,0.8796992481203008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
c-vit,2021-04-25 00:00:00+00:00,30d,30.0,0.0,0.0,11.0,0.08270676691729323,0.16129032258064516,0.0,0.0,0.0,0.0,5.0,0.03759398496240601,0.0,0.0,0.0,0.0,0.0,9.0,0.06766917293233082,0.0,0.0,1.0,0.0,0.0,22.0,0.16541353383458646,0.0,0.0,1.0,0.0,0.0,86.0,0.6466165413533834,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,133.0,1.0,0.08771929824561403,0.0,0.8796992481203008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
c-vit,2021-05-02 00:00:00+00:00,30d,30.0,0.0,0.0,10.0,0.07518796992481203,0.15384615384615385,0.0,0.0,0.0,0.0,8.0,0.06015037593984962,0.0625,0.0,0.0,0.0,0.0,6.0,0.045112781954887216,0.0,0.0,1.0,0.0,0.0,20.0,0.15037593984962405,0.0,0.0,1.0,0.0,0.0,89.0,0.6691729323308271,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,133.0,1.0,0.09433962264150944,0.0,0.8646616541353384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
c-vit,2021-05-09 00:00:00+00:00,30d,30.0,0.0,0.0,12.0,0.09022556390977443,0.08571428571428572,0.0,0.0,0.0,0.0,5.0,0.03759398496240601,0.07142857142857142,0.0,0.0,0.0,0.0,5.0,0.03759398496240601,0.14285714285714285,0.0,1.0,0.0,0.0,18.0,0.13533834586466165,0.0,0.0,1.0,0.0,0.0,93.0,0.6992481203007519,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,133.0,1.0,0.08928571428571429,0.0,0.8721804511278195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
c-vit,2021-05-16 00:00:00+00:00,30d,30.0,0.0,0.0,22.0,0.15942028985507245,0.07272727272727272,0.0,0.0,0.0,0.0,4.0,0.028985507246376812,0.09090909090909091,0.0,0.0,0.0,0.0,5.0,0.036231884057971016,0.16666666666666666,0.0,1.0,0.0,0.0,9.0,0.06521739130434782,0.0,0.0,1.0,0.0,0.0,98.0,0.7101449275362319,0.0,0.0,1.0,0.0,0.0,5.0,0.036231884057971016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,138.0,1.0,0.08333333333333333,0.0,0.8115942028985508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
c-vit,2021-05-23 00:00:00+00:00,30d,30.0,0.0,0.0,13.0,0.09352517985611511,0.10714285714285714,0.0,0.0,0.0,0.0,15.0,0.1079136690647482,0.06451612903225806,0.0,0.0,0.0,0.0,7.0,0.050359712230215826,0.0,0.0,1.0,0.0,0.0,5.0,0.03597122302158273,0.0,0.0,1.0,0.0,0.0,99.0,0.7122302158273381,0.0,0.0,1.0,0.0,0.0,1.0,0.007194244604316547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139.0,1.0,0.07246376811594203,0.0,0.7985611510791367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
c-vit,2021-05-30 00:00:00+00:00,30d,30.0,0.0,0.0,13.0,0.09219858156028368,0.07142857142857142,0.0,0.0,0.0,0.0,11.0,0.07801418439716312,0.05,0.0,0.0,0.0,0.0,16.0,0.11347517730496454,0.09523809523809523,0.0,1.0,0.0,0.0,6.0,0.0425531914893617,0.0,0.0,1.0,0.0,0.0,95.0,0.6737588652482269,0.0,0.0,1.0,0.0,0.0,2.0,0.014184397163120567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,141.0,1.0,0.07246376811594203,0.0,0.8297872340425532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
c-vit,2021-06-06 00:00:00+00:00,30d,30.0,0.0,0.0,9.0,0.06338028169014084,0.045454545454545456,0.0,0.0,0.0,0.0,11.0,0.07746478873239436,0.125,0.0,0.0,0.0,0.0,20.0,0.14084507042253522,0.12,0.0,1.0,0.0,0.0,8.0,0.056338028169014086,0.0,0.0,1.0,0.0,0.0,94.0,0.6619718309859155,0.0,0.0,1.0,0.0,0.0,1.0,0.007042253521126761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142.0,1.0,0.09523809523809523,0.0,0.8591549295774648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
c-vit,2021-06-13 00:00:00+00:00,30d,30.0,0.0,0.0,12.0,0.08391608391608392,0.12903225806451613,0.0,0.0,0.0,0.0,3.0,0.02097902097902098,0.16666666666666666,0.0,0.0,0.0,0.0,20.0,0.13986013986013987,0.09090909090909091,0.0,1.0,0.0,0.0,13.0,0.09090909090909091,0.0,0.0,1.0,0.0,0.0,95.0,0.6643356643356644,0.0,0.0,1.0,0.0,0.0,1.0,0.006993006993006993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,143.0,1.0,0.11864406779661017,0.0,0.8951048951048951,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
c-vit,2021-06-20 00:00:00+00:00,30d,30.0,0.0,0.0,10.0,0.06944444444444445,0.25,0.0,0.0,0.0,0.0,8.0,0.05555555555555555,0.1,0.0,0.0,0.0,0.0,15.0,0.10416666666666667,0.0,0.0,1.0,0.0,0.0,15.0,0.10416666666666667,0.0,0.0,1.0,0.0,0.0,96.0,0.6666666666666666,0.0,0.0,1.0,0.0,0.0,1.0,0.006944444444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,144.0,1.0,0.13725490196078433,0.0,0.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
